时间戳,物理块,磨损圈数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
12:53:01,Block 142,20 圈,968.7,3384.4,4.39,4.84,329,衰退 🟡
12:53:01,Block 143,20 圈,968.7,3384.4,4.39,4.84,359,衰退 🟡
12:56:01,Block 142,40 圈,968.1,3384.4,4.39,4.84,358,衰退 🟡
12:56:01,Block 143,40 圈,968.1,3384.4,4.39,4.84,378,衰退 🟡
12:59:01,Block 142,60 圈,967.7,3384.4,4.39,4.84,348,衰退 🟡
12:59:01,Block 143,60 圈,967.7,3384.4,4.39,4.84,383,衰退 🟡
13:02:01,Block 142,80 圈,967.3,3384.4,4.39,4.84,371,衰退 🟡
13:02:01,Block 143,80 圈,967.3,3384.4,4.39,4.84,361,衰退 🟡
13:05:02,Block 142,100 圈,966.8,3384.4,4.39,4.84,386,衰退 🟡
13:05:02,Block 143,100 圈,966.8,3384.4,4.39,4.84,379,衰退 🟡
13:08:02,Block 142,120 圈,966.5,3384.4,4.39,4.84,370,衰退 🟡
13:08:02,Block 143,120 圈,966.5,3384.4,4.39,4.84,407,衰退 🟡
13:11:02,Block 142,140 圈,965.6,3384.4,4.39,4.84,362,衰退 🟡
13:11:02,Block 143,140 圈,965.6,3384.4,4.39,4.84,397,衰退 🟡
13:14:03,Block 142,160 圈,965.2,3384.4,4.39,4.84,373,衰退 🟡
13:14:03,Block 143,160 圈,965.2,3384.4,4.39,4.84,395,衰退 🟡
13:17:03,Block 142,180 圈,965.1,3384.4,4.39,4.84,348,衰退 🟡
13:17:03,Block 143,180 圈,965.1,3384.4,4.39,4.84,368,衰退 🟡
13:20:03,Block 142,200 圈,965.3,3384.4,4.39,4.84,342,衰退 🟡
13:20:03,Block 143,200 圈,965.3,3384.4,4.39,4.84,383,衰退 🟡
13:23:03,Block 142,220 圈,964.8,3384.4,4.39,4.84,364,衰退 🟡
13:23:03,Block 143,220 圈,964.8,3384.4,4.39,4.84,363,衰退 🟡
13:26:04,Block 142,240 圈,964.6,3384.4,4.39,4.84,395,衰退 🟡
13:26:04,Block 143,240 圈,964.6,3384.4,4.39,4.84,390,衰退 🟡
13:29:04,Block 142,260 圈,964.1,3384.4,4.39,4.84,357,衰退 🟡
13:29:04,Block 143,260 圈,964.1,3384.4,4.39,4.84,392,衰退 🟡
13:32:04,Block 142,280 圈,964.0,3384.4,4.39,4.84,394,衰退 🟡
13:32:04,Block 143,280 圈,964.0,3384.4,4.39,4.84,373,衰退 🟡
13:35:04,Block 142,300 圈,963.9,3384.4,4.39,4.84,360,衰退 🟡
13:35:04,Block 143,300 圈,963.9,3384.4,4.39,4.84,379,衰退 🟡
13:38:04,Block 142,320 圈,963.0,3384.4,4.39,4.84,413,衰退 🟡
13:38:04,Block 143,320 圈,963.0,3384.4,4.39,4.84,373,衰退 🟡
13:41:05,Block 142,340 圈,963.5,3384.4,4.39,4.84,420,衰退 🟡
13:41:05,Block 143,340 圈,963.5,3384.4,4.39,4.84,404,衰退 🟡
13:44:05,Block 142,360 圈,962.8,3384.4,4.39,4.84,427,衰退 🟡
13:44:05,Block 143,360 圈,962.8,3384.4,4.39,4.84,379,衰退 🟡
13:47:05,Block 142,380 圈,962.4,3384.4,4.39,4.84,345,衰退 🟡
13:47:05,Block 143,380 圈,962.4,3384.4,4.39,4.84,393,衰退 🟡
13:50:05,Block 142,400 圈,962.4,3384.4,4.39,4.84,335,衰退 🟡
13:50:05,Block 143,400 圈,962.4,3384.4,4.39,4.84,365,衰退 🟡
13:53:05,Block 142,420 圈,962.1,3384.4,4.39,4.84,410,衰退 🟡
13:53:05,Block 143,420 圈,962.1,3384.4,4.39,4.84,398,衰退 🟡
13:56:05,Block 142,440 圈,961.8,3384.4,4.39,4.84,362,衰退 🟡
13:56:05,Block 143,440 圈,961.8,3384.4,4.39,4.84,335,衰退 🟡
13:59:06,Block 142,460 圈,962.0,3384.4,4.39,4.84,357,衰退 🟡
13:59:06,Block 143,460 圈,962.0,3384.4,4.39,4.84,396,衰退 🟡
14:02:06,Block 142,480 圈,961.6,3384.4,4.39,4.84,345,衰退 🟡
14:02:06,Block 143,480 圈,961.6,3384.4,4.39,4.84,360,衰退 🟡
14:05:06,Block 142,500 圈,961.3,3384.4,4.39,4.84,392,衰退 🟡
14:05:06,Block 143,500 圈,961.3,3384.4,4.39,4.84,404,衰退 🟡
14:08:06,Block 142,520 圈,961.2,3384.4,4.39,4.84,369,衰退 🟡
14:08:06,Block 143,520 圈,961.2,3384.4,4.39,4.84,374,衰退 🟡
14:11:06,Block 142,540 圈,961.1,3384.4,4.39,4.84,410,衰退 🟡
14:11:06,Block 143,540 圈,961.1,3384.4,4.39,4.84,403,衰退 🟡
14:14:06,Block 142,560 圈,960.9,3384.4,4.39,4.84,335,衰退 🟡
14:14:06,Block 143,560 圈,960.9,3384.4,4.39,4.84,394,衰退 🟡
14:17:07,Block 142,580 圈,961.0,3384.4,4.39,4.84,347,衰退 🟡
14:17:07,Block 143,580 圈,961.0,3384.4,4.39,4.84,395,衰退 🟡
14:20:07,Block 142,600 圈,960.2,3384.4,4.39,4.84,368,衰退 🟡
14:20:07,Block 143,600 圈,960.2,3384.4,4.39,4.84,330,衰退 🟡
14:23:07,Block 142,620 圈,960.0,3384.4,4.39,4.84,363,衰退 🟡
14:23:07,Block 143,620 圈,960.0,3384.4,4.39,4.84,359,衰退 🟡
14:26:07,Block 142,640 圈,960.4,3384.4,4.39,4.84,382,衰退 🟡
14:26:07,Block 143,640 圈,960.4,3384.4,4.39,4.84,383,衰退 🟡
14:29:07,Block 142,660 圈,960.4,3384.4,4.39,4.84,382,衰退 🟡
14:29:07,Block 143,660 圈,960.4,3384.4,4.39,4.84,353,衰退 🟡
14:32:07,Block 142,680 圈,960.3,3384.4,4.39,4.84,364,衰退 🟡
14:32:07,Block 143,680 圈,960.3,3384.4,4.39,4.84,371,衰退 🟡
14:35:07,Block 142,700 圈,960.2,3384.4,4.39,4.84,354,衰退 🟡
14:35:07,Block 143,700 圈,960.2,3384.4,4.39,4.84,381,衰退 🟡
14:38:07,Block 142,720 圈,959.3,3384.4,4.39,4.84,362,衰退 🟡
14:38:07,Block 143,720 圈,959.3,3384.4,4.39,4.84,396,衰退 🟡
14:41:07,Block 142,740 圈,959.1,3384.4,4.39,4.84,386,衰退 🟡
14:41:07,Block 143,740 圈,959.1,3384.4,4.39,4.84,343,衰退 🟡
14:44:08,Block 142,760 圈,959.3,3384.4,4.39,4.84,344,衰退 🟡
14:44:08,Block 143,760 圈,959.3,3384.4,4.39,4.84,351,衰退 🟡
14:47:08,Block 142,780 圈,958.9,3384.4,4.39,4.84,368,衰退 🟡
14:47:08,Block 143,780 圈,958.9,3384.4,4.39,4.84,396,衰退 🟡
14:50:08,Block 142,800 圈,959.0,3384.4,4.39,4.84,376,衰退 🟡
14:50:08,Block 143,800 圈,959.0,3384.4,4.39,4.84,388,衰退 🟡
14:53:08,Block 142,820 圈,958.8,3384.4,4.39,4.84,383,衰退 🟡
14:53:08,Block 143,820 圈,958.8,3384.4,4.39,4.84,376,衰退 🟡
14:56:08,Block 142,840 圈,958.3,3384.4,4.39,4.84,394,衰退 🟡
14:56:08,Block 143,840 圈,958.3,3384.4,4.39,4.84,382,衰退 🟡
14:59:08,Block 142,860 圈,958.6,3384.4,4.39,4.84,550,衰退 🟡
14:59:08,Block 143,860 圈,958.6,3384.4,4.39,4.84,559,衰退 🟡
15:02:08,Block 142,880 圈,957.9,3384.4,4.39,4.84,558,衰退 🟡
15:02:08,Block 143,880 圈,957.9,3384.4,4.39,4.84,526,衰退 🟡
15:05:08,Block 142,900 圈,957.7,3384.3,4.39,4.84,338,衰退 🟡
15:05:08,Block 143,900 圈,957.7,3384.4,4.39,4.84,394,衰退 🟡
15:08:08,Block 142,920 圈,957.7,3384.4,4.39,4.84,545,衰退 🟡
15:08:08,Block 143,920 圈,957.7,3384.4,4.39,4.84,505,衰退 🟡
15:11:08,Block 142,940 圈,957.2,3384.4,4.39,4.84,371,衰退 🟡
15:11:08,Block 143,940 圈,957.2,3384.4,4.39,4.84,382,衰退 🟡
15:14:08,Block 142,960 圈,957.6,3384.4,4.39,4.84,465,衰退 🟡
15:14:08,Block 143,960 圈,957.6,3384.4,4.39,4.84,534,衰退 🟡
15:17:08,Block 142,980 圈,957.0,3384.4,4.39,4.84,348,衰退 🟡
15:17:08,Block 143,980 圈,957.0,3384.4,4.39,4.84,397,衰退 🟡
15:20:08,Block 142,1000 圈,956.2,3384.4,4.39,4.84,506,衰退 🟡
15:20:08,Block 143,1000 圈,956.2,3384.4,4.39,4.84,520,衰退 🟡
15:23:08,Block 142,1020 圈,956.5,3384.4,4.39,4.84,414,衰退 🟡
15:23:08,Block 143,1020 圈,956.5,3384.4,4.39,4.84,378,衰退 🟡
15:26:08,Block 142,1040 圈,957.0,3384.4,4.39,4.84,389,衰退 🟡
15:26:08,Block 143,1040 圈,957.0,3384.4,4.39,4.84,392,衰退 🟡
15:29:09,Block 142,1060 圈,956.1,3384.4,4.39,4.84,396,衰退 🟡
15:29:09,Block 143,1060 圈,956.1,3384.4,4.39,4.84,389,衰退 🟡
15:32:09,Block 142,1080 圈,956.0,3384.4,4.39,4.84,494,衰退 🟡
15:32:09,Block 143,1080 圈,956.0,3384.4,4.39,4.84,533,衰退 🟡
15:35:09,Block 142,1100 圈,955.2,3384.4,4.40,4.84,489,衰退 🟡
15:35:09,Block 143,1100 圈,955.2,3384.4,4.40,4.84,510,衰退 🟡
15:38:09,Block 142,1120 圈,955.2,3384.4,4.40,4.84,506,衰退 🟡
15:38:09,Block 143,1120 圈,955.2,3384.4,4.40,4.84,571,衰退 🟡
15:41:09,Block 142,1140 圈,955.2,3384.4,4.40,4.84,484,衰退 🟡
15:41:09,Block 143,1140 圈,955.2,3384.4,4.40,4.84,543,衰退 🟡
15:44:09,Block 142,1160 圈,955.2,3384.4,4.40,4.84,432,衰退 🟡
15:44:09,Block 143,1160 圈,955.2,3384.4,4.40,4.84,370,衰退 🟡
15:47:09,Block 142,1180 圈,954.7,3384.4,4.40,4.84,366,衰退 🟡
15:47:09,Block 143,1180 圈,954.7,3384.4,4.40,4.84,384,衰退 🟡
15:50:09,Block 142,1200 圈,954.5,3384.3,4.40,4.84,408,衰退 🟡
15:50:09,Block 143,1200 圈,954.5,3384.4,4.40,4.84,370,衰退 🟡
15:53:09,Block 142,1220 圈,954.1,3384.3,4.40,4.84,398,衰退 🟡
15:53:09,Block 143,1220 圈,954.1,3384.4,4.40,4.84,428,衰退 🟡
15:56:09,Block 142,1240 圈,953.8,3384.3,4.40,4.84,527,衰退 🟡
15:56:09,Block 143,1240 圈,953.8,3384.4,4.40,4.84,545,衰退 🟡
15:59:09,Block 142,1260 圈,953.5,3384.3,4.40,4.84,536,衰退 🟡
15:59:09,Block 143,1260 圈,953.5,3384.4,4.40,4.84,526,衰退 🟡
16:02:09,Block 142,1280 圈,953.3,3384.3,4.40,4.84,509,衰退 🟡
16:02:09,Block 143,1280 圈,953.3,3384.4,4.40,4.84,497,衰退 🟡
16:05:09,Block 142,1300 圈,953.0,3384.3,4.40,4.84,502,衰退 🟡
16:05:09,Block 143,1300 圈,953.0,3384.4,4.40,4.84,573,衰退 🟡
16:08:08,Block 142,1320 圈,953.2,3384.3,4.40,4.84,573,衰退 🟡
16:08:08,Block 143,1320 圈,953.2,3384.4,4.40,4.84,498,衰退 🟡
16:11:08,Block 142,1340 圈,953.4,3384.3,4.40,4.84,494,衰退 🟡
16:11:08,Block 143,1340 圈,953.4,3384.4,4.40,4.84,516,衰退 🟡
16:14:08,Block 142,1360 圈,952.4,3384.3,4.40,4.84,467,衰退 🟡
16:14:08,Block 143,1360 圈,952.4,3384.4,4.40,4.84,490,衰退 🟡
16:17:08,Block 142,1380 圈,952.3,3384.3,4.40,4.84,531,衰退 🟡
16:17:08,Block 143,1380 圈,952.3,3384.4,4.40,4.84,541,衰退 🟡
16:20:08,Block 142,1400 圈,952.7,3384.3,4.40,4.84,531,衰退 🟡
16:20:08,Block 143,1400 圈,952.7,3384.4,4.40,4.84,494,衰退 🟡
16:23:08,Block 142,1420 圈,952.1,3384.3,4.40,4.84,514,衰退 🟡
16:23:08,Block 143,1420 圈,952.1,3384.4,4.40,4.84,579,衰退 🟡
16:26:08,Block 142,1440 圈,951.7,3384.3,4.40,4.84,509,衰退 🟡
16:26:08,Block 143,1440 圈,951.7,3384.4,4.40,4.84,515,衰退 🟡
16:29:08,Block 142,1460 圈,951.7,3384.3,4.40,4.84,546,衰退 🟡
16:29:08,Block 143,1460 圈,951.7,3384.4,4.40,4.84,509,衰退 🟡
16:32:08,Block 142,1480 圈,952.1,3384.3,4.40,4.84,530,衰退 🟡
16:32:08,Block 143,1480 圈,952.1,3384.4,4.40,4.84,489,衰退 🟡
16:35:08,Block 142,1500 圈,951.2,3384.3,4.40,4.84,555,衰退 🟡
16:35:08,Block 143,1500 圈,951.2,3384.4,4.40,4.84,549,衰退 🟡
16:38:08,Block 142,1520 圈,951.5,3384.3,4.40,4.84,518,衰退 🟡
16:38:08,Block 143,1520 圈,951.5,3384.4,4.40,4.84,498,衰退 🟡
16:41:08,Block 142,1540 圈,951.3,3384.3,4.40,4.84,483,衰退 🟡
16:41:08,Block 143,1540 圈,951.3,3384.4,4.40,4.84,538,衰退 🟡
16:44:08,Block 142,1560 圈,951.3,3384.3,4.40,4.84,538,衰退 🟡
16:44:08,Block 143,1560 圈,951.3,3384.4,4.40,4.84,559,衰退 🟡
16:47:08,Block 142,1580 圈,950.8,3384.3,4.40,4.84,556,衰退 🟡
16:47:08,Block 143,1580 圈,950.8,3384.4,4.40,4.84,524,衰退 🟡
16:50:08,Block 142,1600 圈,950.6,3384.3,4.40,4.84,487,衰退 🟡
16:50:08,Block 143,1600 圈,950.6,3384.4,4.40,4.84,519,衰退 🟡
16:53:08,Block 142,1620 圈,950.5,3384.3,4.40,4.84,552,衰退 🟡
16:53:08,Block 143,1620 圈,950.5,3384.4,4.40,4.84,549,衰退 🟡
16:56:08,Block 142,1640 圈,950.4,3384.3,4.40,4.84,562,衰退 🟡
16:56:08,Block 143,1640 圈,950.4,3384.4,4.40,4.84,558,衰退 🟡
16:59:07,Block 142,1660 圈,950.2,3384.3,4.40,4.84,505,衰退 🟡
16:59:07,Block 143,1660 圈,950.2,3384.4,4.40,4.84,544,衰退 🟡
17:02:07,Block 142,1680 圈,950.7,3384.3,4.40,4.84,559,衰退 🟡
17:02:07,Block 143,1680 圈,950.7,3384.4,4.40,4.84,486,衰退 🟡
17:05:07,Block 142,1700 圈,949.9,3384.3,4.40,4.84,478,衰退 🟡
17:05:07,Block 143,1700 圈,949.9,3384.4,4.40,4.84,483,衰退 🟡
17:08:07,Block 142,1720 圈,950.4,3384.3,4.40,4.84,483,衰退 🟡
17:08:07,Block 143,1720 圈,950.4,3384.4,4.40,4.84,492,衰退 🟡
17:11:07,Block 142,1740 圈,950.2,3384.3,4.40,4.84,547,衰退 🟡
17:11:07,Block 143,1740 圈,950.2,3384.4,4.40,4.84,537,衰退 🟡
17:14:07,Block 142,1760 圈,950.0,3384.3,4.40,4.84,482,衰退 🟡
17:14:07,Block 143,1760 圈,950.0,3384.4,4.40,4.84,528,衰退 🟡
17:17:07,Block 142,1780 圈,949.6,3384.3,4.40,4.84,539,衰退 🟡
17:17:07,Block 143,1780 圈,949.6,3384.4,4.40,4.84,569,衰退 🟡
17:20:07,Block 142,1800 圈,949.8,3384.3,4.40,4.84,513,衰退 🟡
17:20:07,Block 143,1800 圈,949.8,3384.4,4.40,4.84,505,衰退 🟡
17:23:07,Block 142,1820 圈,949.1,3384.3,4.40,4.84,540,衰退 🟡
17:23:07,Block 143,1820 圈,949.1,3384.4,4.40,4.84,486,衰退 🟡
17:26:06,Block 142,1840 圈,949.1,3384.3,4.40,4.84,559,衰退 🟡
17:26:06,Block 143,1840 圈,949.1,3384.4,4.40,4.84,563,衰退 🟡
17:29:06,Block 142,1860 圈,949.5,3384.3,4.40,4.84,509,衰退 🟡
17:29:06,Block 143,1860 圈,949.5,3384.4,4.40,4.84,530,衰退 🟡
17:32:06,Block 142,1880 圈,948.6,3384.3,4.40,4.84,553,衰退 🟡
17:32:06,Block 143,1880 圈,948.6,3384.4,4.40,4.84,503,衰退 🟡
17:35:06,Block 142,1900 圈,948.3,3384.3,4.40,4.84,542,衰退 🟡
17:35:06,Block 143,1900 圈,948.3,3384.4,4.40,4.84,554,衰退 🟡
17:38:06,Block 142,1920 圈,948.2,3384.3,4.40,4.84,517,衰退 🟡
17:38:06,Block 143,1920 圈,948.2,3384.4,4.40,4.84,533,衰退 🟡
17:41:06,Block 142,1940 圈,948.5,3384.3,4.40,4.84,500,衰退 🟡
17:41:06,Block 143,1940 圈,948.5,3384.4,4.40,4.84,539,衰退 🟡
17:44:06,Block 142,1960 圈,948.0,3384.3,4.40,4.84,512,衰退 🟡
17:44:06,Block 143,1960 圈,948.0,3384.4,4.40,4.84,515,衰退 🟡
17:47:06,Block 142,1980 圈,947.8,3384.3,4.40,4.84,541,衰退 🟡
17:47:06,Block 143,1980 圈,947.8,3384.4,4.40,4.84,525,衰退 🟡
17:50:05,Block 142,2000 圈,947.7,3384.3,4.40,4.84,513,衰退 🟡
17:50:05,Block 143,2000 圈,947.7,3384.4,4.40,4.84,529,衰退 🟡
17:53:05,Block 142,2020 圈,946.9,3384.3,4.40,4.84,562,衰退 🟡
17:53:05,Block 143,2020 圈,946.9,3384.4,4.40,4.84,526,衰退 🟡
17:56:05,Block 142,2040 圈,947.5,3384.3,4.40,4.84,573,衰退 🟡
17:56:05,Block 143,2040 圈,947.5,3384.4,4.40,4.84,528,衰退 🟡
